"No.","Time","Source","Destination","Protocol","Length","Info"
"26","0.112867","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=207 Ack=4071 Win=66 Len=0 TSval=1064344304 TSecr=3606040251"
"27","0.126553","192.168.0.122","172.253.118.109","TLSv1.2","141","Client Key Exchange"
"28","0.174714","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4071 Ack=282 Win=268800 Len=0 TSval=3606040322 TSecr=1064344318"
"29","0.174716","172.253.118.109","192.168.0.122","TLSv1.2","242","Application Data"
"30","0.174839","192.168.0.122","172.253.118.109","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"31","0.174970","192.168.0.122","172.253.118.109","TCP","54","53667  >  993 [RST] Seq=2 Win=0 Len=0"
"32","0.176120","172.253.118.109","192.168.0.122","TCP","66","993  >  53667 [FIN, ACK] Seq=177 Ack=2 Win=1050 Len=0 TSval=1533795350 TSecr=1794587129"
"33","0.176171","192.168.0.122","172.253.118.109","TCP","54","53667  >  993 [RST] Seq=2 Win=0 Len=0"
"34","0.207476","fe80::ba:e680:8325:b136","ff02::fb","MDNS","482","Standard query response 0x0000 PTR Isham.�\200\231s MacBook Pro._companion-link._tcp.local TXT AAAA, cache flush fe80::ba:e680:8325:b136 A, cache flush 192.168.0.54 TXT, cache flush SRV, cache flush 0 0 56118 Ishams-MacBook-Pro.local NSEC, cache flush Ishams-MacBook-Pro.local NSEC, cache flush Isham.�\200\231s MacBook Pro._companion-link._tcp.local"
"35","0.208919","fe80::1890:6275:9253:4be4","ff02::fb","MDNS","301","Standard query response 0x0000 PTR ARUN S._smb._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 445 ARUN-S.local AAAA, cache flush fe80::1890:6275:9253:4be4 A, cache flush 192.168.0.127 NSEC, cache flush ARUN S._smb._tcp.local NSEC, cache flush ARUN-S.local"
"36","0.217773","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4071 Ack=333 Win=268800 Len=0 TSval=3606040365 TSecr=1064344366"
"37","0.219544","172.253.118.109","192.168.0.122","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"38","0.219629","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=333 Ack=4122 Win=66 Len=0 TSval=1064344411 TSecr=3606040365"
"39","0.224104","142.251.43.234","192.168.0.122","UDP","1288","443  >  60804 Len=1246"
"40","0.224106","142.251.43.234","192.168.0.122","UDP","72","443  >  60804 Len=30"
"41","0.224107","142.251.43.234","192.168.0.122","UDP","153","443  >  60804 Len=111"
"42","0.225112","192.168.0.122","142.251.43.234","UDP","77","60804  >  443 Len=35"
"43","0.255325","192.168.0.122","142.251.43.234","UDP","74","60804  >  443 Len=32"
"44","0.259911","142.251.43.234","192.168.0.122","UDP","66","443  >  60804 Len=24"
"45","0.307264","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","258","Standard query response 0x0000 PTR, cache flush Radhikas-MacBook-Pro.local PTR, cache flush Radhikas-MacBook-Pro.local NSEC, cache flush 8.C.5.4.3.0.B.1.8.3.C.F.F.3.8.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 146.0.168.192.in-addr.arpa"
"46","0.307266","AdityaInfote_0a:ce:67","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.22"
"47","0.308854","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","361","Standard query 0x0000 ANY Radhika�\200\231s MacBook Pro (2)._airplay._tcp.local, ""QM"" question ANY 5A29F62E8200@Radhika�\200\231s MacBook Pro (2)._raop._tcp.local, ""QM"" question ANY Radhikas-MacBook-Pro.local, ""QM"" question ANY Radhika�\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QM"" question SRV 0 0 7000 Radhikas-MacBook-Pro.local SRV 0 0 7000 Radhikas-MacBook-Pro.local AAAA fe80::83f:fc38:1b03:45c8 A 192.168.0.146 SRV 0 0 50930 Radhikas-MacBook-Pro.local"
"48","0.308855","fe80::c57:69cc:f203:766a","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"49","0.308856","fe80::1096:bd21:f663:cc03","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"50","0.324523","192.168.0.122","5.78.100.21","TCP","54","53604  >  443 [ACK] Seq=1 Ack=1 Win=45239 Len=0"
"51","0.411278","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","830","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _universal._sub._ipps._tcp.local, ""QM"" question PTR _universal._sub._ipp._tcp.local, ""QM"" question PTR _remotepairing-manual-pairing._tcp.local, ""QM"" question PTR _remotepairing._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 916207d4._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR 5B491657-D2E6-4655-B143-AFEE6AFB1E34._remotepairing._tcp.local PTR F74B9D76-D842-40B3-852D-0768DD93F293._remotepairing._tcp.local PTR RS2423RP._smb._tcp.local PTR MacBook Pro (5)._smb._tcp.local PTR Vedant�\200\231s MacBook Pro._smb._tcp.local PTR ARUN S._smb._tcp.local PTR Abhinav�\200\231s MacBook Pro (2)._rfb._tcp.local PTR Rohit�\200\231s MacBook Pro._rfb._tcp.local PTR Xlib._rfb._tcp.local PTR Amritanshu�\200\231s MacBook Pro._rfb._tcp.local"
"52","0.418344","172.253.118.109","192.168.0.122","TLSv1.2","184","Application Data"
"53","0.418536","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=333 Ack=4240 Win=66 Len=0 TSval=1064344610 TSecr=3606040566"
"54","0.419789","192.168.0.122","172.253.118.109","TLSv1.2","116","Application Data"
"55","0.467710","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4240 Ack=383 Win=268800 Len=0 TSval=3606040615 TSecr=1064344611"
"56","0.558148","5.78.100.21","192.168.0.122","TCP","66","[TCP ACKed unseen segment] 443  >  53604 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=2658038596 TSecr=1614191691"
"57","0.614250","AdityaInfote_2b:60:ae","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.247"
"58","0.614253","CpPlus_9e:dc:ee","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.245"
"59","0.615477","fe80::b8f6:685a:5bd2:ea03","ff02::fb","MDNS","268","Standard query response 0x0000 PTR datascience-mini's remote desktop on flam._rfb._tcp.local TXT, cache flush SRV, cache flush 0 0 5900 flam.local AAAA, cache flush fe80::b8f6:685a:5bd2:ea03 PTR FLAM._smb._tcp.local TXT, cache flush SRV, cache flush 0 0 445 flam.local"
"60","0.619307","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","1322","Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Radhika�\200\231s MacBook Pro (2)._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 5A29F62E8200@Radhika�\200\231s MacBook Pro (2)._raop._tcp.local SRV, cache flush 0 0 7000 Radhikas-MacBook-Pro.local SRV, cache flush 0 0 7000 Radhikas-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Radhika�\200\231s MacBook Pro (2)._companion-link._tcp.local TXT AAAA, cache flush fe80::83f:fc38:1b03:45c8 A, cache flush 192.168.0.146 SRV, cache flush 0 0 50930 Radhikas-MacBook-Pro.local NSEC, cache flush Radhika�\200\231s MacBook Pro (2)._airplay._tcp.local NSEC, cache flush 5A29F62E8200@Radhika�\200\231s MacBook Pro (2)._raop._tcp.local NSEC, cache flush Radhika�\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Radhikas-MacBook-Pro.local"
"61","0.623571","fe80::1893:e6cd:b4da:e037","ff02::fb","MDNS","1503","Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Home Cinema._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 466C1B3E520C@Home Cinema._raop._tcp.local SRV, cache flush 0 0 7000 Home-Cinema.local SRV, cache flush 0 0 7000 Home-Cinema.local TXT, cache flush PTR _companion-link._tcp.local PTR Home Cinema._companion-link._tcp.local TXT SRV, cache flush 0 0 49153 Home-Cinema.local TXT, cache flush PTR _sleep-proxy._udp.local PTR 70-35-60-63.1 Home Cinema._sleep-proxy._udp.local PTR, cache flush Home-Cinema.local PTR, cache flush Home-Cinema.local SRV, cache flush 0 0 49426 Home-Cinema.local AAAA, cache flush fe80::1893:e6cd:b4da:e037 A, cache flush 192.168.1.241 NSEC, cache flush Home Cinema._airplay._tcp.local NSEC, cache flush 466C1B3E520C@Home Cinema._raop._tcp.local OPT"
"62","0.662455","172.253.118.109","192.168.0.122","TLSv1.2","330","Application Data"
"63","0.662662","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=383 Ack=4504 Win=66 Len=0 TSval=1064344854 TSecr=3606040810"
"64","0.664292","192.168.0.122","172.253.118.109","TLSv1.2","535","Application Data"
"65","0.707406","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4504 Ack=852 Win=268544 Len=0 TSval=3606040855 TSecr=1064344856"
"66","0.716691","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","156","Standard query 0x0000 TXT datascience-mini's remote desktop on flam._device-info._tcp.local, ""QU"" question TXT FLAM._device-info._tcp.local, ""QU"" question"
"67","0.716693","b2:d2:bc:27:5f:7a","Broadcast","ARP","60","Who has 192.168.1.145? Tell 192.168.0.146"
"68","0.716693","b2:d2:bc:27:5f:7a","Broadcast","ARP","60","Who has 192.168.0.1? Tell 192.168.0.146"
"69","0.716733","AdityaInfote_0a:ce:67","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.22"
"70","0.822819","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","1501","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR Abhinav�\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Manish's MacBook Pro._companion-link._tcp.local PTR Trupthi�\200\231s MacBook Pro._companion-link._tcp.local PTR Sunayana�\200\231s MacBook Pro._companion-link._tcp.local PTR Aniket�\200\231s MacBook Pro._companion-link._tcp.local PTR Ishan�\200\231s MacBook Pro Work._companion-link._tcp.local PTR ARUN S._companion-link._tcp.local PTR Arul�\200\231s MacBook Pro._companion-link._tcp.local PTR praveen�\200\231s MacBook Pro._companion-link._tcp.local PTR Guru's Mac._companion-link._tcp.local PTR Rohit�\200\231s MacBook Pro._companion-link._tcp.local PTR MacBook Pro (2)._companion-link._tcp.local PTR nikk�\200\231s MacBook Pro._companion-link._tcp.local PTR Uday�\200\231s MacBook Pro._companion-link._tcp.local PTR Sidhesh�\200\231s MacBook Pro._companion-link._tcp.local PTR Rishab�\200\231s MacBook Pro._companion-link._tcp.local PTR Avinash�\200\231s MacBook Pro._companion-link._tcp.local PTR Akshat�\200\231s MacBook Pro._companion-link._tcp.local PTR Rajashekhar._companion-link._tcp.local PTR Sabyasachi�\200\231s MacBook Pro._companion-link._tcp.local PTR Sasank�\200\231s MacBook Pro._companion-link._tcp.local PTR Shalaka's Mac._companion-link._tcp.local PTR Sunayana�\200\231s iPad._companion-link._tcp.local PTR Prince._companion-link._tcp.local PTR Samarth�\200\231s MacBook Pro._companion-link._tcp.local PTR Ram�\200\231s MacBook Pro._companion-link._tcp.local PTR Prashansa�\200\231s MacBook Pro._companion-link._tcp.local PTR Aryan�\200\231s MacBook Pro._companion-link._tcp.local PTR MacBook Pro (5)._companion-link._tcp.local PTR MacBook Pro (3)._companion-link._tcp.local PTR Arushi's MacBook._companion-link._tcp.local PTR Monisha�\200\231s MacBook Pro._companion-link._tcp.local PTR Entertainment Room._companion-link._tcp.local PTR Amritanshu�\200\231s MacBook Pro._companion-link._tcp.local PTR Prafulla�\200\231s MacBook Pro._companion-link._tcp.local PTR Vinnie's Macbook Pro._companion-link._tcp.local PTR Mobius�\200\231s MacBook Pro._companion-link._tcp.local PTR Ritesh�\200\231s MacBook Pro._companion-link._tcp.local PTR Anurag�\200\231s MacBook Pro._companion-link._tcp.local PTR Isham.�\200\231s MacBook Pro._companion-link._tcp.local"
"71","0.822822","fe80::83f:fc38:1b03:45c8","ff02::fb","MDNS","168","Standard query 0x0000 PTR Radhika�\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Home Cinema._companion-link._tcp.local"
"72","0.910407","172.253.118.109","192.168.0.122","TLSv1.2","195","Application Data"
"73","0.910625","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=852 Ack=4633 Win=66 Len=0 TSval=1064345102 TSecr=3606041058"
"74","0.911661","192.168.0.122","172.253.118.109","TLSv1.2","101","Application Data"
"75","0.954497","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4633 Ack=887 Win=268800 Len=0 TSval=3606041102 TSecr=1064345103"
"76","1.133222","fe80::c76:41f:aba4:54d9","ff02::fb","MDNS","256","Standard query response 0x0000 PTR, cache flush Sabyasachis-iPhone.local PTR, cache flush Sabyasachis-iPhone.local NSEC, cache flush 9.D.4.5.4.A.B.A.F.1.4.0.6.7.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 155.0.168.192.in-addr.arpa"
"77","1.133225","192.168.1.122","192.168.1.255","NBNS","110","Release NB MANOHAR-A<00>"
"78","1.154557","172.253.118.109","192.168.0.122","TLSv1.2","161","Application Data"
"79","1.154774","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [ACK] Seq=887 Ack=4728 Win=66 Len=0 TSval=1064345346 TSecr=3606041302"
"80","1.156398","192.168.0.122","172.253.118.109","TLSv1.2","112","Application Data"
"81","1.157596","192.168.0.122","172.253.118.109","TCP","66","53669  >  993 [FIN, ACK] Seq=933 Ack=4728 Win=66 Len=0 TSval=1064345349 TSecr=3606041302"
"82","1.159414","192.168.0.122","172.253.118.109","TCP","78","53670  >  993 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3592889284 TSecr=0 SACK_PERM"
"83","1.199427","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4728 Ack=933 Win=268800 Len=0 TSval=3606041347 TSecr=1064345348"
"84","1.201004","172.253.118.109","192.168.0.122","TCP","74","993  >  53670 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2265478303 TSecr=3592889284 WS=256"
"85","1.201167","192.168.0.122","172.253.118.109","TCP","66","53670  >  993 [ACK] Seq=1 Ack=1 Win=2816 Len=0 TSval=3592889327 TSecr=2265478303"
"86","1.202166","192.168.0.122","172.253.118.109","TLSv1.2","272","Client Hello (SNI=imap.gmail.com)"
"87","1.207025","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [ACK] Seq=4728 Ack=934 Win=268800 Len=0 TSval=3606041353 TSecr=1064345349"
"88","1.243619","172.253.118.109","192.168.0.122","TCP","66","993  >  53670 [ACK] Seq=1 Ack=207 Win=268800 Len=0 TSval=2265478346 TSecr=3592889328"
"89","1.243621","172.253.118.109","192.168.0.122","TLSv1.2","1466","Server Hello"
"90","1.243843","192.168.0.122","172.253.118.109","TCP","66","53670  >  993 [ACK] Seq=207 Ack=1401 Win=2816 Len=0 TSval=3592889369 TSecr=2265478347"
"91","1.244904","172.253.118.109","192.168.0.122","TCP","1466","993  >  53670 [PSH, ACK] Seq=1401 Ack=207 Win=268800 Len=1400 TSval=2265478347 TSecr=3592889328 [TCP PDU reassembled in 93]"
"92","1.244957","192.168.0.122","172.253.118.109","TCP","66","53670  >  993 [ACK] Seq=207 Ack=2801 Win=4224 Len=0 TSval=3592889370 TSecr=2265478347"
"93","1.285767","172.253.118.109","192.168.0.122","TLSv1.2","1337","Certificate, Server Key Exchange, Server Hello Done"
"94","1.286030","192.168.0.122","172.253.118.109","TCP","66","53670  >  993 [ACK] Seq=207 Ack=4072 Win=4224 Len=0 TSval=3592889411 TSecr=2265478388"
"95","1.296095","192.168.0.122","172.253.118.109","TLSv1.2","141","Client Key Exchange"
"96","1.330883","fe80::c76:41f:aba4:54d9","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"97","1.343898","172.253.118.109","192.168.0.122","TCP","66","993  >  53670 [ACK] Seq=4072 Ack=282 Win=268800 Len=0 TSval=2265478446 TSecr=3592889422"
"98","1.344100","192.168.0.122","172.253.118.109","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"99","1.354408","13.232.193.230","192.168.0.122","TLSv1.2","176","Application Data"
"100","1.354609","192.168.0.122","13.232.193.230","TCP","66","52925  >  443 [ACK] Seq=1 Ack=111 Win=2046 Len=0 TSval=3651939893 TSecr=4239564740"
"101","1.372125","192.168.0.122","13.232.193.230","TLSv1.2","182","Application Data"
"102","1.385984","172.253.118.109","192.168.0.122","TCP","66","993  >  53670 [ACK] Seq=4072 Ack=333 Win=268800 Len=0 TSval=2265478488 TSecr=3592889470"
"103","1.385985","172.253.118.109","192.168.0.122","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"104","1.386204","192.168.0.122","172.253.118.109","TCP","66","53670  >  993 [ACK] Seq=333 Ack=4123 Win=4224 Len=0 TSval=3592889512 TSecr=2265478488"
"105","1.396614","13.232.193.230","192.168.0.122","TLSv1.2","173","Application Data"
"106","1.396687","192.168.0.122","13.232.193.230","TCP","66","52925  >  443 [ACK] Seq=117 Ack=218 Win=2046 Len=0 TSval=3651939935 TSecr=4239564783"
"107","1.400200","172.253.118.109","192.168.0.122","TLSv1.2","242","Application Data"
"108","1.400200","172.253.118.109","192.168.0.122","TCP","66","993  >  53669 [FIN, ACK] Seq=4904 Ack=934 Win=268800 Len=0 TSval=3606041548 TSecr=1064345349"
"109","1.400395","192.168.0.122","172.253.118.109","TCP","54","53669  >  993 [RST] Seq=934 Win=0 Len=0"
"110","1.400427","192.168.0.122","172.253.118.109","TCP","54","53669  >  993 [RST] Seq=934 Win=0 Len=0"
"111","1.433118","b2:d2:bc:27:5f:7a","Broadcast","ARP","60","Who has 192.168.0.1? Tell 192.168.0.146"
"112","1.435888","fe80::14:ad8e:71fd:d607","ff02::fb","MDNS","937","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _daap._tcp.local, ""QM"" question PTR _touch-remote._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 909907e5._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Aryan Solanki�\200\231s Library._daap._tcp.local PTR Vedant�\200\231s Library._daap._tcp.local PTR pranav�\200\231s Library._daap._tcp.local PTR Vedant�\200\231s MacBook Pro._smb._tcp.local PTR MacBook Pro (5)._smb._tcp.local PTR ARUN S._smb._tcp.local PTR FLAM._smb._tcp.local PTR Rohit�\200\231s MacBook Pro._rfb._tcp.local PTR Abhinav�\200\231s MacBook Pro (2)._rfb._tcp.local PTR Xlib._rfb._tcp.local PTR Amritanshu�\200\231s MacBook Pro._rfb._tcp.local PTR datascience-mini's remote desktop on flam._rfb._tcp.local PTR 70-35-60-63.1 Entertainment Room._sleep-proxy._udp.local PTR 70-35-60-63.1 Home Cinema._sleep-proxy._udp.local"
